          ;      766473;   ;Filtro    ;Inicio                                  ;01122015      ;163503;200.28.205.97  ;OK ;                    ;Inicio de filtrado                                                      
          ;      766473;   ;Filtro    ;tbk_param.txt                           ;01122015      ;163503;200.28.205.97  ;OK ;                    ;Archivo parseado                                                        
          ;      766473;   ;Filtro    ;Terminado                               ;01122015      ;163503;200.28.205.97  ;OK ;                    ;Datos Filtrados con exito                                               
899850330 ;      766473;   ;pago      ;inicio                                  ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Parseo realizado                                                        
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Mac generado                                                            
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Datos listos para ser enviados                                          
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Datos validados                                                         
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Token=eb245cb8887e1168158ff71cdc3e733e28226a479bdbc6704795a93625dfbed8  
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Redireccion web                                                         
899850330 ;      766473;   ;pago      ;https://certificacion.webpay.cl         ;01122015      ;163503;200.28.205.97  ;OK ;597026007976        ;Todo OK                                                                 
          ;      766493;   ;resultado ;Desencriptando                          ;01122015      ;163515;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      766493;   ;resultado ;Validacion                              ;01122015      ;163515;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      766493;   ;resultado ;30065                                   ;01122015      ;163515;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      766493;   ;resultado ;30065                                   ;01122015      ;163515;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
899850330 ;      766493;   ;transacc  ;899850330                               ;01122015      ;163515;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
899850330 ;      766493;   ;resultado ;logro abrir_conexion                    ;01122015      ;163515;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
899850330 ;      766493;   ;transacc  ;899850330                               ;01122015      ;163515;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
899850330 ;      766493;   ;transacc  ;899850330                               ;01122015      ;163515;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      766496;   ;check_mac ;                                        ;01122015      ;163516;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
899850330 ;      766493;   ;transacc  ;899850330                               ;01122015      ;163516;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
899850330 ;      766493;   ;resultado ;30065                                   ;01122015      ;163516;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
899850330 ;      766493;   ;resultado ;30065                                   ;01122015      ;163516;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
899850330 ;      766493;   ;resultado ;30065                                   ;01122015      ;163516;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
