          ;       50226;   ;Filtro    ;Inicio                                  ;22032017      ;161445;201.236.135.68 ;OK ;                    ;Inicio de filtrado                                                      
          ;       50226;   ;Filtro    ;tbk_param.txt                           ;22032017      ;161445;201.236.135.68 ;OK ;                    ;Archivo parseado                                                        
          ;       50226;   ;Filtro    ;Terminado                               ;22032017      ;161445;201.236.135.68 ;OK ;                    ;Datos Filtrados con exito                                               
021008572 ;       50226;   ;pago      ;inicio                                  ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Parseo realizado                                                        
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Mac generado                                                            
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Datos listos para ser enviados                                          
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Redireccion web                                                         
021008572 ;       50226;   ;pago      ;https://webpay3gint.transbank.cl        ;22032017      ;161445;201.236.135.68 ;OK ;597026007976        ;Todo OK                                                                 
          ;       50419;   ;resultado ;Desencriptando                          ;22032017      ;161531;200.10.14.177  ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       50419;   ;resultado ;Validacion                              ;22032017      ;161531;200.10.14.177  ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       50419;   ;resultado ;49278                                   ;22032017      ;161531;200.10.14.177  ;OK ;                    ;Parseo de los datos                                                     
          ;       50419;   ;resultado ;49278                                   ;22032017      ;161531;200.10.14.177  ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
21008572  ;       50419;   ;transacc  ;21008572                                ;22032017      ;161531;200.10.14.177  ;OK ;597026007976        ;conectandose al port :(80)                                              
21008572  ;       50419;   ;resultado ;logro abrir_conexion                    ;22032017      ;161531;200.10.14.177  ; 0 ;597026007976        ;Abrio socket para conex-com                                             
21008572  ;       50419;   ;transacc  ;21008572                                ;22032017      ;161531;200.10.14.177  ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
21008572  ;       50419;   ;transacc  ;21008572                                ;22032017      ;161531;200.10.14.177  ;OK ;597026007976        ;mensaje enviado                                                         
          ;       50423;   ;check_mac ;                                        ;22032017      ;161532;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
21008572  ;       50419;   ;transacc  ;21008572                                ;22032017      ;161532;200.10.14.177  ;OK ;597026007976        ;Llego ACK del Comercio                                                  
21008572  ;       50419;   ;resultado ;49278                                   ;22032017      ;161532;200.10.14.177  ;OK ;597026007976        ;tienda acepto transaccion                                               
21008572  ;       50419;   ;resultado ;49278                                   ;22032017      ;161532;200.10.14.177  ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
21008572  ;       50419;   ;resultado ;49278                                   ;22032017      ;161532;200.10.14.177  ;OK ;597026007976        ;Todo OK                                                                 
