          ;      542971;   ;Filtro    ;Inicio                                  ;27072017      ;112919;201.236.135.68 ;OK ;                    ;Inicio de filtrado                                                      
          ;      542971;   ;Filtro    ;tbk_param.txt                           ;27072017      ;112919;201.236.135.68 ;OK ;                    ;Archivo parseado                                                        
          ;      542971;   ;Filtro    ;Terminado                               ;27072017      ;112919;201.236.135.68 ;OK ;                    ;Datos Filtrados con exito                                               
116935991 ;      542971;   ;pago      ;inicio                                  ;27072017      ;112919;201.236.135.68 ;OK ;597032286941        ;Parseo realizado                                                        
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112919;201.236.135.68 ;OK ;597032286941        ;Datos en datos/tbk_config.dat                                           
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112919;201.236.135.68 ;OK ;597032286941        ;Mac generado                                                            
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112919;201.236.135.68 ;OK ;597032286941        ;Construccion TBK_PARAM                                                  
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112919;201.236.135.68 ;OK ;597032286941        ;TBK_PARAM encriptado                                                    
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112919;201.236.135.68 ;OK ;597032286941        ;Datos listos para ser enviados                                          
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112919;201.236.135.68 ;OK ;597032286941        ;Medio 1: Transaccion segura                                             
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112920;201.236.135.68 ;OK ;597032286941        ;Datos validados                                                         
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112920;201.236.135.68 ;OK ;597032286941        ;Token=e749685d391ad9aa0a4bd6b143e3de65e01c37ea0aca9cb86ef59e5a94831034  
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112920;201.236.135.68 ;OK ;597032286941        ;Redireccion web                                                         
116935991 ;      542971;   ;pago      ;https://webpay.transbank.cl             ;27072017      ;112920;201.236.135.68 ;OK ;597032286941        ;Todo OK                                                                 
