          ;       57114;   ;Filtro    ;Inicio                                  ;08082017      ;160254;200.72.15.219  ;OK ;                    ;Inicio de filtrado                                                      
          ;       57114;   ;Filtro    ;tbk_param.txt                           ;08082017      ;160254;200.72.15.219  ;OK ;                    ;Archivo parseado                                                        
          ;       57114;   ;Filtro    ;Terminado                               ;08082017      ;160254;200.72.15.219  ;OK ;                    ;Datos Filtrados con exito                                               
222257427 ;       57114;   ;pago      ;inicio                                  ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Parseo realizado                                                        
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Datos en datos/tbk_config.dat                                           
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Mac generado                                                            
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Construccion TBK_PARAM                                                  
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;TBK_PARAM encriptado                                                    
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Datos listos para ser enviados                                          
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Medio 1: Transaccion segura                                             
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Datos validados                                                         
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Token=ecae74f717ac212dfe73e3f8795f7af1d24f492156e7b35f0540593ce0e6868a  
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Redireccion web                                                         
222257427 ;       57114;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;160254;200.72.15.219  ;OK ;597032286941        ;Todo OK                                                                 
          ;       57556;   ;resultado ;Desencriptando                          ;08082017      ;160433;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       57556;   ;resultado ;Validacion                              ;08082017      ;160433;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       57556;   ;resultado ;200018                                  ;08082017      ;160433;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;       57556;   ;resultado ;200018                                  ;08082017      ;160433;200.10.14.34   ;OK ;                    ;http://www.hookipa.cl/compras/cierre                                    
222257427 ;       57556;   ;transacc  ;222257427                               ;08082017      ;160433;200.10.14.34   ;OK ;597032286941        ;conectandose al port :(80)                                              
222257427 ;       57556;   ;resultado ;logro abrir_conexion                    ;08082017      ;160433;200.10.14.34   ; 0 ;597032286941        ;Abrio socket para conex-com                                             
222257427 ;       57556;   ;transacc  ;222257427                               ;08082017      ;160433;200.10.14.34   ;OK ;597032286941        ;POST a url http://www.hookipa.cl/compras/cierre                         
222257427 ;       57556;   ;transacc  ;222257427                               ;08082017      ;160433;200.10.14.34   ;OK ;597032286941        ;mensaje enviado                                                         
          ;       57559;   ;check_mac ;                                        ;08082017      ;160433;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
222257427 ;       57556;   ;transacc  ;222257427                               ;08082017      ;160434;200.10.14.34   ;OK ;597032286941        ;Llego ACK del Comercio                                                  
222257427 ;       57556;   ;resultado ;200018                                  ;08082017      ;160434;200.10.14.34   ;OK ;597032286941        ;tienda acepto transaccion                                               
222257427 ;       57556;   ;resultado ;200018                                  ;08082017      ;160434;200.10.14.34   ;OK ;597032286941        ;respuesta enviada a TBK (ACK)                                           
222257427 ;       57556;   ;resultado ;200018                                  ;08082017      ;160434;200.10.14.34   ;OK ;597032286941        ;Todo OK                                                                 
          ;       64368;   ;Filtro    ;Inicio                                  ;08082017      ;162751;201.236.142.15 ;OK ;                    ;Inicio de filtrado                                                      
          ;       64368;   ;Filtro    ;tbk_param.txt                           ;08082017      ;162751;201.236.142.15 ;OK ;                    ;Archivo parseado                                                        
          ;       64368;   ;Filtro    ;Terminado                               ;08082017      ;162751;201.236.142.15 ;OK ;                    ;Datos Filtrados con exito                                               
222407117 ;       64368;   ;pago      ;inicio                                  ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Parseo realizado                                                        
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Datos en datos/tbk_config.dat                                           
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Mac generado                                                            
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Construccion TBK_PARAM                                                  
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;TBK_PARAM encriptado                                                    
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Datos listos para ser enviados                                          
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Medio 1: Transaccion segura                                             
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Datos validados                                                         
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Token=ec9b80589128542701d8268b0b3ec046fd7ca16deb25b6bc91e1e92f71f4ee31  
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Redireccion web                                                         
222407117 ;       64368;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;162751;201.236.142.15 ;OK ;597032286941        ;Todo OK                                                                 
          ;       83493;   ;Filtro    ;Inicio                                  ;08082017      ;173715;200.54.234.202 ;OK ;                    ;Inicio de filtrado                                                      
          ;       83493;   ;Filtro    ;tbk_param.txt                           ;08082017      ;173715;200.54.234.202 ;OK ;                    ;Archivo parseado                                                        
          ;       83493;   ;Filtro    ;Terminado                               ;08082017      ;173715;200.54.234.202 ;OK ;                    ;Datos Filtrados con exito                                               
222823588 ;       83493;   ;pago      ;inicio                                  ;08082017      ;173715;200.54.234.202 ;OK ;597032286941        ;Parseo realizado                                                        
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173715;200.54.234.202 ;OK ;597032286941        ;Datos en datos/tbk_config.dat                                           
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173715;200.54.234.202 ;OK ;597032286941        ;Mac generado                                                            
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173715;200.54.234.202 ;OK ;597032286941        ;Construccion TBK_PARAM                                                  
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173715;200.54.234.202 ;OK ;597032286941        ;TBK_PARAM encriptado                                                    
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173715;200.54.234.202 ;OK ;597032286941        ;Datos listos para ser enviados                                          
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173715;200.54.234.202 ;OK ;597032286941        ;Medio 1: Transaccion segura                                             
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173716;200.54.234.202 ;OK ;597032286941        ;Datos validados                                                         
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173716;200.54.234.202 ;OK ;597032286941        ;Token=ea1c99077a40a71c209ea7266bd304360c381de33fbf75605bcad2f141893a4d  
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173716;200.54.234.202 ;OK ;597032286941        ;Redireccion web                                                         
222823588 ;       83493;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;173716;200.54.234.202 ;OK ;597032286941        ;Todo OK                                                                 
          ;       84609;   ;Filtro    ;Inicio                                  ;08082017      ;174102;200.54.234.202 ;OK ;                    ;Inicio de filtrado                                                      
          ;       84609;   ;Filtro    ;tbk_param.txt                           ;08082017      ;174102;200.54.234.202 ;OK ;                    ;Archivo parseado                                                        
          ;       84609;   ;Filtro    ;Terminado                               ;08082017      ;174102;200.54.234.202 ;OK ;                    ;Datos Filtrados con exito                                               
222846282 ;       84609;   ;pago      ;inicio                                  ;08082017      ;174102;200.54.234.202 ;OK ;597032286941        ;Parseo realizado                                                        
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174102;200.54.234.202 ;OK ;597032286941        ;Datos en datos/tbk_config.dat                                           
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174102;200.54.234.202 ;OK ;597032286941        ;Mac generado                                                            
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174102;200.54.234.202 ;OK ;597032286941        ;Construccion TBK_PARAM                                                  
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174102;200.54.234.202 ;OK ;597032286941        ;TBK_PARAM encriptado                                                    
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174102;200.54.234.202 ;OK ;597032286941        ;Datos listos para ser enviados                                          
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174102;200.54.234.202 ;OK ;597032286941        ;Medio 1: Transaccion segura                                             
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174103;200.54.234.202 ;OK ;597032286941        ;Datos validados                                                         
222846282 ;       84609;   ;pago      ;https://webpay.transbank.cl             ;08082017      ;174103;200.54.234.202 ;OK ;597032286941        ;Token=e70147571f6805089e3c2fbdb165dd859451a3cfbf66a5e248d49ce122ac4d78  
