          ;      233758;   ;Filtro    ;Inicio                                  ;09122015      ;160541;190.101.74.38  ;OK ;                    ;Inicio de filtrado                                                      
          ;      233758;   ;Filtro    ;tbk_param.txt                           ;09122015      ;160541;190.101.74.38  ;OK ;                    ;Archivo parseado                                                        
          ;      233758;   ;Filtro    ;Terminado                               ;09122015      ;160541;190.101.74.38  ;OK ;                    ;Datos Filtrados con exito                                               
968794112 ;      233758;   ;pago      ;inicio                                  ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Parseo realizado                                                        
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Mac generado                                                            
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Datos listos para ser enviados                                          
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Datos validados                                                         
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Token=eaa2e1843599d49e077391f662dd84f10c8c153aad1d414bb0a0ae94ad6ffaa4  
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Redireccion web                                                         
968794112 ;      233758;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;160541;190.101.74.38  ;OK ;597026007976        ;Todo OK                                                                 
          ;      233854;   ;resultado ;Desencriptando                          ;09122015      ;160621;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      233854;   ;resultado ;Validacion                              ;09122015      ;160621;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      233854;   ;resultado ;30066                                   ;09122015      ;160621;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      233854;   ;resultado ;30066                                   ;09122015      ;160621;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
968794112 ;      233854;   ;transacc  ;968794112                               ;09122015      ;160621;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
968794112 ;      233854;   ;resultado ;logro abrir_conexion                    ;09122015      ;160621;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
968794112 ;      233854;   ;transacc  ;968794112                               ;09122015      ;160621;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
968794112 ;      233854;   ;transacc  ;968794112                               ;09122015      ;160621;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      233857;   ;check_mac ;                                        ;09122015      ;160621;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
968794112 ;      233854;   ;transacc  ;968794112                               ;09122015      ;160621;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
968794112 ;      233854;   ;resultado ;30066                                   ;09122015      ;160621;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
968794112 ;      233854;   ;resultado ;30066                                   ;09122015      ;160621;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
968794112 ;      233854;   ;resultado ;30066                                   ;09122015      ;160621;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
