
          ;      750828;   ;Filtro    ;Inicio                                  ;07012016      ;125610;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      750828;   ;Filtro    ;tbk_param.txt                           ;07012016      ;125610;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      750828;   ;Filtro    ;Terminado                               ;07012016      ;125610;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
218217077 ;      750828;   ;pago      ;inicio                                  ;07012016      ;125610;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125610;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125610;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125610;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125610;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125610;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125610;200.55.212.170 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125625;200.55.212.170 ;ERR;597026007976        ;No se pudo decifrar el contenido, posible error de llaves               
218217077 ;      750828;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125625;200.55.212.170 ;ERR;597026007976        ;283                                                                     
          ;      750895;   ;Filtro    ;Inicio                                  ;07012016      ;125641;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;      750895;   ;Filtro    ;tbk_param.txt                           ;07012016      ;125641;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;      750895;   ;Filtro    ;Terminado                               ;07012016      ;125641;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
218220155 ;      750895;   ;pago      ;inicio                                  ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Datos validados                                                         
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Token=e6ddfbbf3a68bf5ebc0f9a9658aff3eafabeddad600c4cf2fe2bca4e5be29be7  
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
218220155 ;      750895;   ;pago      ;https://certificacion.webpay.cl         ;07012016      ;125641;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;      751829;   ;resultado ;Desencriptando                          ;07012016      ;130222;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;      751829;   ;resultado ;Validacion                              ;07012016      ;130222;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;      751829;   ;resultado ;30540                                   ;07012016      ;130222;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;      751829;   ;resultado ;30540                                   ;07012016      ;130222;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
218220155 ;      751829;   ;transacc  ;218220155                               ;07012016      ;130222;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
218220155 ;      751829;   ;resultado ;logro abrir_conexion                    ;07012016      ;130222;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
218220155 ;      751829;   ;transacc  ;218220155                               ;07012016      ;130222;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
218220155 ;      751829;   ;transacc  ;218220155                               ;07012016      ;130222;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;      751832;   ;check_mac ;                                        ;07012016      ;130222;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
218220155 ;      751829;   ;transacc  ;218220155                               ;07012016      ;130222;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
218220155 ;      751829;   ;resultado ;30540                                   ;07012016      ;130222;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
218220155 ;      751829;   ;resultado ;30540                                   ;07012016      ;130223;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
218220155 ;      751829;   ;resultado ;30540                                   ;07012016      ;130223;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
