          ;     1039103;   ;Filtro    ;Inicio                                  ;01022016      ;172136;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;     1039103;   ;Filtro    ;tbk_param.txt                           ;01022016      ;172136;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;     1039103;   ;Filtro    ;Terminado                               ;01022016      ;172136;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
435809607 ;     1039103;   ;pago      ;inicio                                  ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Datos validados                                                         
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Token=e5dde553b50f8d8a75a16cfeab1acb8e186332a8846349c9103f65db74b6bd25  
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
435809607 ;     1039103;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172136;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;     1039170;   ;Filtro    ;Inicio                                  ;01022016      ;172153;200.55.212.170 ;OK ;                    ;Inicio de filtrado                                                      
          ;     1039170;   ;Filtro    ;tbk_param.txt                           ;01022016      ;172153;200.55.212.170 ;OK ;                    ;Archivo parseado                                                        
          ;     1039170;   ;Filtro    ;Terminado                               ;01022016      ;172153;200.55.212.170 ;OK ;                    ;Datos Filtrados con exito                                               
435811307 ;     1039170;   ;pago      ;inicio                                  ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Parseo realizado                                                        
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Mac generado                                                            
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Datos listos para ser enviados                                          
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Datos validados                                                         
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Token=ee420f40bf9ff11cc0d4b065ad8ccc6374ce8963974a29bcef6eee6ab3717396  
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Redireccion web                                                         
435811307 ;     1039170;   ;pago      ;https://certificacion.webpay.cl         ;01022016      ;172153;200.55.212.170 ;OK ;597026007976        ;Todo OK                                                                 
          ;     1039230;   ;resultado ;Desencriptando                          ;01022016      ;172202;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;     1039230;   ;resultado ;Validacion                              ;01022016      ;172202;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;     1039230;   ;resultado ;33265                                   ;01022016      ;172202;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;     1039230;   ;resultado ;33265                                   ;01022016      ;172202;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
435811307 ;     1039230;   ;transacc  ;435811307                               ;01022016      ;172202;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
435811307 ;     1039230;   ;resultado ;logro abrir_conexion                    ;01022016      ;172202;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
435811307 ;     1039230;   ;transacc  ;435811307                               ;01022016      ;172202;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
435811307 ;     1039230;   ;transacc  ;435811307                               ;01022016      ;172202;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;     1039233;   ;check_mac ;                                        ;01022016      ;172202;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
435811307 ;     1039230;   ;transacc  ;435811307                               ;01022016      ;172203;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
435811307 ;     1039230;   ;resultado ;33265                                   ;01022016      ;172203;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
435811307 ;     1039230;   ;resultado ;33265                                   ;01022016      ;172203;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
