          ;       53596;   ;Filtro    ;Inicio                                  ;09082016      ;160528;201.236.135.68 ;OK ;                    ;Inicio de filtrado                                                      
          ;       53596;   ;Filtro    ;tbk_param.txt                           ;09082016      ;160528;201.236.135.68 ;OK ;                    ;Archivo parseado                                                        
          ;       53596;   ;Filtro    ;Terminado                               ;09082016      ;160528;201.236.135.68 ;OK ;                    ;Datos Filtrados con exito                                               
077312862 ;       53596;   ;pago      ;inicio                                  ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Parseo realizado                                                        
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Mac generado                                                            
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Datos listos para ser enviados                                          
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Redireccion web                                                         
077312862 ;       53596;   ;pago      ;https://certificacion.webpay.cl         ;09082016      ;160528;201.236.135.68 ;OK ;597026007976        ;Todo OK                                                                 
          ;       53747;   ;resultado ;Desencriptando                          ;09082016      ;160634;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       53747;   ;resultado ;Validacion                              ;09082016      ;160634;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       53747;   ;resultado ;33418                                   ;09082016      ;160634;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       53747;   ;resultado ;33418                                   ;09082016      ;160634;200.10.12.55   ;OK ;                    ;http://staging.booksandbits.cl/compras/cierre                           
77312862  ;       53747;   ;transacc  ;77312862                                ;09082016      ;160634;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
77312862  ;       53747;   ;resultado ;logro abrir_conexion                    ;09082016      ;160634;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
77312862  ;       53747;   ;transacc  ;77312862                                ;09082016      ;160634;200.10.12.55   ;OK ;597026007976        ;POST a url http://staging.booksandbits.cl/compras/cierre                
77312862  ;       53747;   ;transacc  ;77312862                                ;09082016      ;160634;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       53750;   ;check_mac ;                                        ;09082016      ;160634;190.107.176.19 ;OK ;                    ;Todo OK                                                                 
77312862  ;       53747;   ;transacc  ;77312862                                ;09082016      ;160635;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
77312862  ;       53747;   ;resultado ;33418                                   ;09082016      ;160635;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
77312862  ;       53747;   ;resultado ;33418                                   ;09082016      ;160635;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
77312862  ;       53747;   ;resultado ;33418                                   ;09082016      ;160635;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
