          ;      135296;   ;Filtro    ;Inicio                                  ;02112016      ;172740;191.125.42.160 ;OK ;                    ;Inicio de filtrado                                                      
          ;      135296;   ;Filtro    ;tbk_param.txt                           ;02112016      ;172740;191.125.42.160 ;OK ;                    ;Archivo parseado                                                        
          ;      135296;   ;Filtro    ;Terminado                               ;02112016      ;172740;191.125.42.160 ;OK ;                    ;Datos Filtrados con exito                                               
811846062 ;      135296;   ;pago      ;inicio                                  ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Parseo realizado                                                        
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Mac generado                                                            
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Datos listos para ser enviados                                          
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Redireccion web                                                         
811846062 ;      135296;   ;pago      ;https://certificacion.webpay.cl         ;02112016      ;172740;191.125.42.160 ;OK ;597026007976        ;Todo OK                                                                 
