ACK; TBK_ORDEN_COMPRA=30027; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=14656000; TBK_CODIGO_AUTORIZACION=495089; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=093055; TBK_ID_SESION=null; TBK_ID_TRANSACCION=836825580; TBK_TIPO_PAGO=VC; TBK_NUMERO_CUOTAS=10; TBK_VCI=TSY; TBK_MAC=434ce422eaa9b6a0f1bcaede32dfd8c4a512f44c6b320d296af7042256167727fde19aeaa60283cba4538eab82ffdf616bc9b2d5fe7ecc09f18510e1c33b552fc423c52ea918ff3e38a54dd1cc3e487c329342fee0bd1f1fdcf03eb948c1ff2687766457d5bbf986be16e10ce2bc2e44a74b4bc89efaa65340a2d78610c8b299e933f13a5afd84c0a02c2820e4a0399cd267e18e3ce27cc96b6579cca026c2acf83e1eee9f4ec6e61c3b8a6c23542f6749d66f1e8442a4ea8b11829c8421ae649239fed6b24edcc311b62cb9cb4087c841d0e892cf1a2c2e874cf27d128dfffce85d5f571fa417b3c7f9e1a67ad2935cffe9bebe407fb3b219e4b04faacf41b70f8737fa8595ba0d897bbe1dca601dcda49ec729f2b61d97654bbc84463ed7d1e2e6589476991161ae3316febacf53778972af2eeaddd91a457f1235989fe2910d7db05b4e919dd8056925b4a599b892d8a59032ed9b03570fd0625856fc61e37ba98c06eff69157f3bbe05bc38861d1029105e52faf640f564cba93b7a9daeae67edb0af81c009d7b4b6fd93a0309e3eb8864e9634b7394bd7aeb439f45b0467b3e181ad4cee04ad163dc79535ade83e8d31e0d15079eda3ceb2d03fefab4b5c04a4f4a3e4323e5617df850e5ce8bd699ab93126f57041f4d6193170afdf462f7a39083a2481376ff98eb32dff5a9b72803dbe02e8f0f6526ed615467bff6e4
ACK; TBK_ORDEN_COMPRA=30028; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=3527000; TBK_CODIGO_AUTORIZACION=205775; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=094929; TBK_ID_SESION=null; TBK_ID_TRANSACCION=836937019; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=2ba71ce7091dad717ca2ba818658296a41f964aaf1297cbc6add407fe69bddf23277ce9129734145791122a425610006346d965b517606d7e83dc6b1307d0b44ff1dca5539ee9f03466b018e68fdaa04bfe9ac2b8764cee23c5d310b2896dedd222dbeaf28638e642875bd98618bb3d1a23153d609fd5f9b42616b7f3e3499e2dc83687febb0eac440e09471602d0335a956bf2b66fc8bd1b9e3b4a5a999494c82bc9c546fc8f1674bb34bf285471e3fa7556aa2335a04beef17af416740f9a17d85ae643a03f5b843fb43644262decfc972e3df3ecc4e7f36a55e1096bd0db576088b76cff50ec3c88f1ca6d03b108c401615e2c4238ff39f0c13c475960da927e8e902d7c6835b84aea81394ae511e6d0705b36cbbe97be5e126e835b277e8dd22941eeda76b2560fc862f09c6b88fbb9443773bdddec991f9e441f3abd19c8fc3611788d4cf110b08e7196d731804872107452c3575a4eb9f019a0019764c65abd87a71de49c176d4e25e7e914db5cca09a2e0c6a4f27e20fc2431925a0d54efd459d1b1d763421e6502eb0ba172059293ddd1a5887395a35aba886cb480b8ada7757b6f4702d63b2dec6b47b8d44d15105028cf1f52c1e0ddd98eb0560c1b4ce6df307723ad67bdbe0206b801b9ee1e8cf7e83b6cec978f26d6a5848a1d811019e580dd6ddc9f6c4fbbe6f6a0f323ec5395d8c2c331f0b64a257185cd0e1
ACK; TBK_ORDEN_COMPRA=30029; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=7267000; TBK_CODIGO_AUTORIZACION=528003; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=094948; TBK_ID_SESION=null; TBK_ID_TRANSACCION=836938871; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=6ec7795c8246ab84764b2dcff3af84b21a95f7bd79965c15a04578884d328dd5954636fbb1af593cf007d46c3918afbf88dea70b25de2f495d9671f3af8bdf3dea80d4034bbd4626e9a3b652b8f543cbb7fb27aeab79b830bb4677241b6567ed8fd8b68cdddc4e883fb02e2e66dc2ff19d3fb8b40d5086040bc50be1349532cda1f9679777ab61c62a85e7ca037f77845f50a8e9106002a962125d787aeca421ccd7be7f517e3345ae58df68c932db68b96ccc703a5e1b8c44dc03db6014b9c9e6076d3a712d3dfe23fd1fbf7f1857068cd0d035e4c89b094bb34f5e8d8c79a75b03720a7152c743d086266700518a7755eca7fa0583af2da0478d7d5fbb75f60c4f1bad5aed4c14d2016741df82938ebde783c87a500ae277cae5c8a8e38fdf057bfdd331a90fdc266b9d33ac583cf9a398aa75b56653b9fa258afe4b33321b880431eb77b47561d62868abdaaa5d6cfbb2917d821f558c2766cca4aa725a32925042481fdea64d36fcc151d5366d4325e9a77cb931ebd3bf47d4303be464167178d417eebc75e4531bdc85c9134963e3de76b5436f4bef232788170d6ca952015e3dbebb66dc6866db6db044a58a67dbc8805047ca075c283e7a83d1ba811dc78ffd92706312dfccc56fbccfc6ef365323a6bc94eff531eb151286b0a2b2883dacb81c11e1c1d4f40fe6a5d287100713f0adcbb0de8cacfe27de3ec9eb82d4
ACK; TBK_ORDEN_COMPRA=30030; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=2607000; TBK_CODIGO_AUTORIZACION=777359; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=095136; TBK_ID_SESION=null; TBK_ID_TRANSACCION=836949758; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=6f158b92b01daae93a5ab542c6be4e98611db3615dd77c1fa85a2d6bad800483712ad4865ba00f5112f22f1a87a70c981ca25fba208bb759a2797679891e191c012f06f3bcb6217ab4e5584abc3ffbe3d8c29bcfc23be9a044f01e9332776cd3ddb3107ae96a3797df3123018dd6ecf1cc347930c0e74c0feafd98e6e2ed3fc22c38c6e605a08f7801aec401ec502e013c6e3d982afa60ad84372a1986ba561fb2c68a1e63683b31f11f9232d829646c56af35284758586ab7b72f45e30b39649d6d2dce5a413f10609397861247379afe9f65d904a9611507148222c78fb6c3c33556bd79e13aa1dceb9574f6b062dd743d92f978e8436a8952ffc1c69d09e51ff880211a44d4e9234d3ac1b8df2956e00270f06979d4157811b109d5237e6adce25e836054dba9ca30c0c5e70762c275c3d2b1f3db24e50e8fc09dbb009bf615f038ab0d47256e8c67eca970dbef6bda8cc316ea51650b028b2ab6dbc5472d791f168870a4292651dfd2a260ccc43ad72f209473de63bf308e10554dfd554c8bd2ef05345c8d1087390b0537093c5a34aada6b82bc7bd741175c0d4e82423525311721e3e1600b8963fff468b39aebea0be361bb3a5faa38303f905a810c3976b115f05cdb62493a0fbe2b1e4447ca6006042b98c1642e0c85bae88330b4ba50e49a94650f42e6892e48787b998ce2e2355c4cb71ffd5ec51ee85a9644c641
ACK; TBK_ORDEN_COMPRA=30031; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4162000; TBK_CODIGO_AUTORIZACION=206837; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=095305; TBK_ID_SESION=null; TBK_ID_TRANSACCION=836958640; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=06488b12b925e55cad743247fcc1f082fdd213d3b514a4b8d2c5fa4df56117657fad9dfd462c95a0eefe729de822b891a0a631039c9e3ee143ef40ffafd37761d9e1b712a4f3538c31a286e6ee30a46be28458d577964b335350829ce84807833d7d75b83b3a61bb85190efaf834f7c6bdcc1b6c2efa639a92b1b9f233d326fca1cff790369bccc4a08db768147b0876e87e4e37a2a87a1e65d662a6a8c0bc0ce5d501ad6bd061d08aa151b4a7d98f97fc7baeff8526407e56ba2919fb89170992e7107a84a4569a3a048b1bfb2d2da63eb96e67ca1f11de7c7bc747e61b035940e45011dda566b1f8dfdf68eb62928f3897deb91cef1cce07fc8f0cde0246024791429a46def64cdf4ffeb1fb8b7cb2f72840e971d540a14dbd2bfefab51ab988966d0bac1c14461424a481d19a55b2da2f547f55c02a43ecdd7b0dc8676955e017ea8be036250f84e6f576445be5d16f3e7d265fed891e1a6f677aa0ae60c2e52bbcecc64751198d0fc23dfb77e4b8ff31fa32ebd758040ac55728dca2648ae797f9416c3fa7854ad4c00348e71410e33cf9749f181e5d9a9b89bb02d62b2d9e6c7a19a3320e026b6a0fa6c3b9cf9f560326ad36e8206f8b619c3df3eaecd3222c05659dd462025c194f9ec85268114352f89c3eef02e32e52b8bd9a707ac3cd95e82f7c8084f0fef34f5ed067f98989549b8bd643eb65340ffcee5458ad0b
ACK; TBK_ORDEN_COMPRA=30032; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=8957000; TBK_CODIGO_AUTORIZACION=589668; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=100216; TBK_ID_SESION=null; TBK_ID_TRANSACCION=837013665; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=9811dd4efc253128645b0c207155600b82918cdba5bd051a60d14791089e0d66625e099cc160b435ca2b9bbb4ee6df0867fa8699cb7e518520b0349caa99f4e9fd06fc7542bc3124a44fe74c3ddd66cc347df832b53ef4c6f0da3c86c8b0eed1115de16faf9fd67eab3a4b481bd76cc85214ee108fc54a1c0e84c9f46a5c7ee59b2d3a78cc1c9286d3b7805f1989988221413f29a673e4b32a55db9b216191c895348d0e567e8df0ede19029ee52f1d9d8e192de0870bd4af482f637fcddedc291b88dc5678910016931deefefb7749e9585dc8b75d974a7c17aa1db48ee1e8d76e1fab1435663d52eb3d07e423cc5ec80cdbdb83c7054cfa821e7162e0154edf3c3a8811acd0afd38cedb863ffba4e5a58cb396ede9b522d3e2dc891e9e539c50a8f82b8efbb5598ddbae857da61a2e00bd70ba4783781dbe7e88499b408ecf53234422a69461488f801ed6c61691bf0aecd4d0691999fcc1d950311cb3104023b5ed01d3cd5931e417cc4c220108b0d4f200601a003e4a097ec572f8d33e80ae45d9b26fda4faf1f112ba9806d71544b0083e1745d876f84ea33dd84a481cb545a8a6bf34f868b7bc53465d3ed479f4dc6cb044649df3be049e62e1924a9a0bb53999428b178e224f0d69df896bed8a5c9579691bd51416ea062f34b14ed995b83efd09dcb7bee2d6cae6b8e71945e9ad05398d49c851e4cecff134e9fb874
ACK; TBK_ORDEN_COMPRA=30034; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=6237000; TBK_CODIGO_AUTORIZACION=270204; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=101134; TBK_ID_SESION=null; TBK_ID_TRANSACCION=837069556; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=02f9f41ec444630d4c0992a3e1e4f59a688575f45d8719c61cb25828cf8f081aa229ab3d93de40b90ebc050fdc8110e223366b0369268a67d5c78338ed0b2fb6b3d349c063a3ba38c1ea8f76360d34c8f4e62b92fd217923b463e0eb0c3d9af7b58a2baedf4d7b9d1c59f8f756dffadbf097376f41f33e47c18e1a95b4f6d702e121f0bfb7ab1c37d214fe47d3bba134e468eb51c8b8f7ee7d96b4bb5ba8d465d2c601609b1e9dcaa3ac266824d1a5e1893d378ec3f8df3110d4bd9cfa4fd1001e285029cf3008b3bf7966c5923b4dfd556621f1be8e84aaf7ce8da6fb57aee633175079253a37a01d1ccef74b8a8e4bd53ca7e727bc7346c92918296123ec3687e2a36d8839954763649c51bbef027dcb422fb86056951925d68e580568e2b865527c321b7b88baf028b717c132f663a307e6fafe37291aa11554b13175a137b0472e0570546429afe414ba7b41efc8f97cc25eb4bdf7597ba3b908d580dac458530563115b783424980fc32016283360c9bd32b5c3ddd4c65817354c743b7a17d891be422be425b8862cd53b8feabf7201802573b2a0686be608d1d670334a844db5f0a093928ca13496a4e6bb752b00428a5cd761ae3a6694d70af6ee72ee4af28c886078bf6db25d36acf1544fb25cac63b9551565d1f0f85fd037533c1d941a9cb1e89719bb877434a31ea6803136ac985a50462344d99cced5b2962f1a
ACK; TBK_ORDEN_COMPRA=30035; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=4297000; TBK_CODIGO_AUTORIZACION=151911; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=101233; TBK_ID_SESION=null; TBK_ID_TRANSACCION=837075365; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=1528a72890c24aa871cb344896cbfc8cc6cef8004cf3e9061df0e7d6be9778bfadef30eb9b8e8c91de3e29113186645d15df22b959808311c13eeeaa6110f86ace5e62727f3b1994c7e9e19bfb51fcf254cd9bc9f4a0e3b8ed22b4eecf5d4dca83e1d903199c7409e308f67f329054fbdcabd0525bc898a5d4e671374d0f7d40f4ad882e476c8117940053b8af70c5126a3b1e81da876b82b8930e7c42610b3406fdeb36b81cb1a9e9fbcb76bf612acf8fdf37aed6f2e435a3870ec8a9b42d45803b2c0b6c79d0ee418147afec8a33cb39d49f8575b8692f4b5fc758eb9c2b1e61438744515e5076c568d4500b869a14965579acf214dda9e4b05fdf24f014fc1af225e455a7429327d3b6615d49346c321833fe5bfb9a584d66f5619393c06eb9f88c5a8b307e11110d057c6009d3eff227a81b224bf35367be88e12bdc00a267368ce86ed5c0697bb1e0ab6c4e5f6ac2444ffbdca19aefb7693149d83f17476d79533d27cf1922fd9aaf6dc476f887e4c763321e6e4d5da05d1cb64322de9e02690cff9d9041a6fba4011ba8c322dbe9b45f9015f050ff5af7378823ea17119b8d84dc361e21f394312f0ad3c1ce779b87968ce3d3b669aa452f7894eec6f86c3f8f25ccf7bb656f406bf7cddb0a8f9ef166f6c8cadb69939b86074d7cb1fe23069ad3ed2de14f5535d762e3c88e0103dbf24ea3e3cfce262b1b8d137c81fe
ACK; TBK_ORDEN_COMPRA=30036; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=12247000; TBK_CODIGO_AUTORIZACION=732098; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=102014; TBK_ID_SESION=null; TBK_ID_TRANSACCION=837121551; TBK_TIPO_PAGO=VD; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=aca00cbf6ac0d50da9f31b8c75d06c57389f582230bc9a62756989c62c999b829627aecf51cf5f5c2676490ef81d9a916d8d1ea9356289a9610e1bb3c57f35b72fae7900a0d8185c7335d010a4a0cba16602f6b92a5d81341494b1cf1affef9e52d4a9b57e69d5c9bbfe934d9d8e14cf47cb42424640d8fb61be1a58b319f06e4f60edacd7a7a7d04c73e8663912c94f6797f3f549e34d07ff7d9189ca7df37079fd0337819778e57867a5e282feba12c723f67a3b01789fd839a8cb346e5d040b631d76e67374039aac0c929bf8d74aa3c4a0259921baf96fa1f66244db9a80c67d7c5361aba33e69038119d082d64a7a6a17d1eca8efeac45e0e848e4360f42af2680b206cb9337dab9de11f50f2776a0197afcf3df8d1883b141af0e4387d8c14b1d7a6a4c2f9099bb1d7c4d028b4d2736c2b85738fd557df0b6b17f892afa9bbb2ae842c69470d5eb410b24efdb21dfa3cb53799c0b531e72e1ff815cdf422a7085bd94a026b97b93166cc37a6d1c80e85c2d5f009a7ec1caea0f6b64004c8ba9b5923c17ced632ac305a9e101b1e15234168a55c594841d0c43e72bc634a7edf3eb5dcdc8741a921f2d63361bd102dcb515dc69271d4603e611f8fb2a21ee30e964c631ec3183580755e66b7d0f8743cea55c0090d1248302b9ff750a9c6bd664cd11a925e62fe7c302ee6c664a37709f653c4cb1a03220e392cd4649d7
ACK; TBK_ORDEN_COMPRA=30037; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=-1; TBK_MONTO=10152000; TBK_CODIGO_AUTORIZACION=000000; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=102536; TBK_ID_SESION=null; TBK_ID_TRANSACCION=837153665; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSN; TBK_MAC=7d1bf2a865acbc4d3a650097834292c93b176755a3aa8ae7d0facdeca8a771438896e6c960fa9fdc5458008bc6a7273eed9157afbf5ee7c963bb22943c3d7ebb56673b2ee282a36bde5444a87f3aa919eea59744c9555bb3fb4f43528bbbf82cdee1d2bd94ab9ee38b57c2461f3320325e169b6758f248845abe659e47d0dfff6847512bb1eb93425cfadb99f2e3061dd88e05f3ca65a62e858e8205c68ca58d0660e12dbf762f37d774708f97816dcbfa5ada2864bfb79a56216961f9a9742f02a5b4ff227572de72a4b7e01b5f52bd0c1cc39e9027254886507e0b01d7cee5916dbb2b68b4876fe48dca1b645f881b2e8dd17f6ee9d47ab628f3fce475f123319b8467db060056cf51277b74ff84d6e408d56c0a46edaa18241b7f113a79a10403a83a813054bedb0b2430c5a14a2a888b3a297b6a13aea4296302393d9e809e8c99d108c28a5380e909aecfc3abe7cac9ade7ff42911e10524bfc166563907f94982cc549c40cc4630978fb4fac2708340a6a50a607756ab6416d42fcfce5fed6309278a80f866f05972b168f97487ba1bf59f3c7fa91865a1f9c24e89df95f87cec8b55be031d9362c8edc7f862e36d5ebcf011f8f2d7728490152cbed4760430066375e3259b958ca66948d52f6794e74c79f904005f900d75894be232c1dbf7e74cdc0de43e56560372f1f69c2e253be11ea17189f6f9fc56af996b3bc
ACK; TBK_ORDEN_COMPRA=30039; TBK_CODIGO_COMERCIO=597026007976; TBK_TIPO_TRANSACCION=TR_NORMAL; TBK_RESPUESTA=0; TBK_MONTO=10152000; TBK_CODIGO_AUTORIZACION=555369; TBK_FINAL_NUMERO_TARJETA=6623; TBK_FECHA_CONTABLE=1124; TBK_FECHA_TRANSACCION=1124; TBK_HORA_TRANSACCION=102729; TBK_ID_SESION=null; TBK_ID_TRANSACCION=837164988; TBK_TIPO_PAGO=VN; TBK_NUMERO_CUOTAS=0; TBK_VCI=TSY; TBK_MAC=85440aa3bfb73a3203839b8c83808d485e15c80d3134621c95ca73326dee8e5ebab2b7c4ceb9ecc5c47b310c866fb77e1f3bd2cc444c632237dd2497f543ff7405cddfb6b8f3c3aafd613f17b67597786822e1c1296678d57199ecf4a1511a561b7c6061618f955d277c7e6c62201027cae49eaa90050b004d478fe7af5fffe31eff83afa03a2dbe1fed513f25489fa32b178d5f956c8e4addec8636490c34e894031a60b3bd76564801fa2ee39a252a30ea31e906d031980d401d7d750c4968c6fd645d6f795a8594e6eae4109221053f89a050cd7bac5529d5135aa9bd45b74de3466639020b90cdbad6026e93ad94fc714cdab609866cab5baa9f5f1239a80646b647f345f83c9b23fca883e794b71c9b76d221ab613698bf4efb9809a7d6d383bef75dcd07fc724ca9abe80cfd6c2b7707cb8cc78a173f75c334f2953bce75daec639341d21b9e7da36d3a31db447ca56f674b04fc75e54bf893e75b0e6fb2d1437167456d4170bb865ad6f4c2b47548b5d9bdc6f04e04affb9e7c1825feeae60aadd9058fbd95be18fc76d5e8ced5b047f1520cadfbbc38d1ea5e25c1568e9378486d6f4fd4e5a812978387354daa894530ed4ac83ceea67de04826891d4d90abfaea2185cfa010b27c13ae608c3fd8589cfe688ed47ab11d52a0bef8baf83416dba0651b164a13b0c5694a38171e5a1f0c9402e40ac1ae450285b19759
